,Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
7,19,Mogi,Corinthians,2,João Pedro,15.0,2,7,0,1,1,2,0,0,0,1,1,1.0,0.0,0.0,1.0,1.0,0,0.0
8,19,Mogi,Corinthians,2,Guga,2.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0.0
9,19,Mogi,Corinthians,2,Colina,0.2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
10,19,Mogi,Corinthians,2,Alex,3.8,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,2.0,4.0,1.0,1,0.0
11,19,Mogi,Corinthians,2,F Cardoso,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
12,19,Mogi,Corinthians,2,Equipe,0.0,70,163,8,25,16,34,14,20,6,24,30,17.0,4.0,3.0,26.0,21.0,16,0.0
0,19,São Paulo,Bauru,1,Shamell,29.8,24,45,7,13,0,1,3,4,0,0,0,6.0,1.0,0.0,1.0,4.0,0,0.0
1,19,São Paulo,Bauru,1,Léo Meindl,30.0,23,44,3,6,6,12,2,2,4,1,5,5.0,1.0,1.0,1.0,2.0,2,1.0
2,19,São Paulo,Bauru,1,Renan,35.1,21,31,2,3,7,10,1,2,3,5,8,2.0,0.0,1.0,1.0,2.0,2,5.0
3,19,São Paulo,Bauru,1,Holloway,7.7,7,13,0,1,3,4,1,2,2,1,3,2.0,0.0,0.0,1.0,1.0,0,1.0
4,19,São Paulo,Bauru,1,Jefferson,23.4,6,25,2,7,0,2,0,0,2,12,14,2.0,1.0,1.0,3.0,1.0,0,0.0
5,19,São Paulo,Bauru,1,Georginho,35.1,6,15,0,3,3,3,0,0,1,13,14,7.0,1.0,1.0,0.0,3.0,3,0.0
6,19,São Paulo,Bauru,1,Cassiano,4.9,3,3,1,1,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0,0.0,1,0.0
7,19,São Paulo,Bauru,1,Igor,3.2,3,8,1,2,0,0,0,2,1,1,2,2.0,1.0,0.0,0.0,1.0,1,0.0
8,19,São Paulo,Bauru,1,Murilo,10.9,2,4,0,0,0,1,2,2,3,2,5,0.0,0.0,0.0,3.0,2.0,3,0.0
9,19,São Paulo,Bauru,1,Kurtz,5.5,2,4,0,0,1,2,0,0,0,1,1,0.0,0.0,0.0,2.0,0.0,1,0.0
10,19,São Paulo,Bauru,1,Danilo,4.9,2,5,0,1,1,1,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0
11,19,São Paulo,Bauru,1,Jones,9.5,0,9,0,3,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0,0.0
12,19,São Paulo,Bauru,1,Equipe,0.0,99,206,16,40,21,36,9,14,20,39,59,28.0,5.0,4.0,13.0,16.0,15,7.0
0,19,Bauru,São Paulo,2,Draper,36.7,22,53,4,9,4,11,2,4,3,5,8,0.0,1.0,1.0,5.0,5.0,3,0.0
