,Njogador,Temporada,Time,Adv,C_F,Jogador,Min,Pts_C,Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
162,10,19,Mogi,Corinthians,2,Alex,3:8,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,1,1,0
163,11,19,Mogi,Corinthians,2,F Cardoso,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,12,19,Mogi,Corinthians,2,Equipe,0:0,70,163,8,25,16,34,14,20,6,24,30,17,4,3,26,21,16,0
165,0,19,São Paulo,Bauru,1,Shamell,29:8,24,45,7,13,0,1,3,4,0,0,0,6,1,0,1,4,0,0
166,1,19,São Paulo,Bauru,1,Léo Meindl,30:0,23,44,3,6,6,12,2,2,4,1,5,5,1,1,1,2,2,1
167,2,19,São Paulo,Bauru,1,Renan,35:1,21,31,2,3,7,10,1,2,3,5,8,2,0,1,1,2,2,5
168,3,19,São Paulo,Bauru,1,Holloway,7:7,7,13,0,1,3,4,1,2,2,1,3,2,0,0,1,1,0,1
169,4,19,São Paulo,Bauru,1,Jefferson,23:4,6,25,2,7,0,2,0,0,2,12,14,2,1,1,3,1,0,0
170,5,19,São Paulo,Bauru,1,Georginho,35:1,6,15,0,3,3,3,0,0,1,13,14,7,1,1,0,3,3,0
171,6,19,São Paulo,Bauru,1,Cassiano,4:9,3,3,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0
172,7,19,São Paulo,Bauru,1,Igor,3:2,3,8,1,2,0,0,0,2,1,1,2,2,1,0,0,1,1,0
173,8,19,São Paulo,Bauru,1,Murilo,10:9,2,4,0,0,0,1,2,2,3,2,5,0,0,0,3,2,3,0
174,9,19,São Paulo,Bauru,1,Kurtz,5:5,2,4,0,0,1,2,0,0,0,1,1,0,0,0,2,0,1,0
175,10,19,São Paulo,Bauru,1,Danilo,4:9,2,5,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
