,Time,Oponente,Data,Casa/Fora,Classificatoria/Playoffs,Nome,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,substituicao_entra,substituicao_sai,Ar_Pts_C,Ar_Pts_T,Pts_C,Pts_T,posse_de_bola_Oliver,Diferenca_Placar,Vitoria/Derrota,Periodos_Positivos,posse_de_bola,Ataques/min,Tempo_de_posse,Semana
67,Joinville   AABJ ,Flamengo,02/12/2017 18:00,fora,1º TURNO,Equipe,24,72,36,78,15,21,9,18,27,9,9,1,17,19,12,2,24,21,24,63,75,171,75.0,-11.0,derrota,5,73,3.84,19,FLA 86  X  75 VER RELATÓRIO  JLE
68,Minas,Joinville   AABJ ,04/12/2017 19:00,casa,1º TURNO,Equipe,27,75,38,76,4,10,12,31,43,24,8,4,12,13,17,1,31,26,27,63,69,161,72.0,17.0,vitória,5,70,3.33,21,MIN 69  X  52 VER RELATÓRIO  JLE
69,Joinville   AABJ ,Minas,04/12/2017 19:00,fora,1º TURNO,Equipe,21,75,26,78,5,7,14,26,40,13,10,2,13,12,15,1,25,20,19,64,52,160,68.0,-17.0,derrota,1,71,3.74,19,MIN 69  X  52 VER RELATÓRIO  JLE
70,KTO Caxias do Sul,Liga Sorocabana,04/12/2017 19:00,casa,1º TURNO,Equipe,15,69,54,80,13,22,12,24,36,24,10,5,27,20,10,4,25,20,28,63,82,171,70.0,16.0,vitória,6,70,3.68,19,CAX 82  X  66 VER RELATÓRIO  LSB
71,Liga Sorocabana,KTO Caxias do Sul,04/12/2017 19:00,fora,1º TURNO,Equipe,15,51,28,56,23,34,7,22,29,15,2,1,21,26,19,0,33,28,19,45,66,141,72.0,-16.0,derrota,5,70,3.33,21,CAX 82  X  66 VER RELATÓRIO  LSB
72,Pinheiros,VipTech CMB,04/12/2017 19:30,casa,1º TURNO,Equipe,21,60,42,72,17,23,6,31,37,12,2,1,18,17,14,1,36,35,27,56,80,155,74.0,29.0,vitória,6,63,3.15,20,PIN 80  X  51 VER RELATÓRIO  CMO
73,VipTech CMB,Pinheiros,04/12/2017 19:30,fora,1º TURNO,Equipe,18,75,24,76,9,14,11,23,34,9,7,2,17,17,10,0,39,39,18,63,51,165,68.0,-29.0,derrota,2,62,3.1,20,PIN 80  X  51 VER RELATÓRIO  CMO
74,Fortaleza Basquete,Vasco da Gama,05/12/2017 19:30,casa,1º TURNO,Equipe,21,66,50,90,14,21,13,32,45,13,8,2,15,22,12,3,24,19,29,67,85,177,74.0,9.0,vitória,7,74,3.52,21,CEA 85  X  76 VER RELATÓRIO  VAS
75,Vasco da Gama,Fortaleza Basquete,05/12/2017 19:30,fora,1º TURNO,Equipe,27,90,40,74,9,11,6,23,29,19,6,1,22,14,11,3,27,22,26,67,76,175,77.0,-9.0,derrota,4,73,3.84,19,CEA 85  X  76 VER RELATÓRIO  VAS
76,Pinheiros,Paulistano,06/12/2017 19:30,casa,1º TURNO,Equipe,18,57,52,106,11,15,15,40,55,15,7,4,21,19,16,1,26,21,31,72,81,178,79.0,16.0,vitória,7,79,3.76,21,PIN 81  X  65 VER RELATÓRIO  CAP
